Member_Id	Percent_of_customers	Percent_of_Total_Running_Sum_of_P_Q	P_Q
15387356	0.008066581	17.862269007%	234500
6608876	0.008194622	17.993475944%	234060
16125215	0.008322663	18.122238798%	229700
15190638	0.008450704	18.250048684%	228000
5042989	0.008578745	18.377858570%	228000
8590355	0.008706786	18.503566319%	224250
16692854	0.008834827	18.627954487%	221896
11502808	0.008962868	18.751273649%	219989
4644780	0.009090909	18.874374750%	219600
17949861	0.009218950	18.996910796%	218592
17685649	0.009346991	19.117545390%	215200
7612704	0.009475032	19.237619414%	214200
15100189	0.009603073	19.357493314%	213843
17868705	0.009731114	19.475409145%	210350
7474533	0.009859155	19.592287922%	208500
820132	0.009987196	19.708757483%	207770
12919294	0.010115237	19.824290893%	206100
14111919	0.010243278	19.939824303%	206100
17758519	0.010371319	20.055240554%	205891
12747805	0.010499360	20.169372539%	203600
11670584	0.010627401	20.281484232%	199996
18024864	0.010755442	20.393484371%	199797
12826794	0.010883483	20.504587599%	198197
10724124	0.011011524	20.615244052%	197400
9879166	0.011139565	20.724723309%	195300
17755463	0.011267606	20.833810168%	194600
9721	0.011395647	20.942840969%	194500
18099927	0.011523688	21.050246119%	191600
2391723	0.011651729	21.157034642%	190500
11537564	0.011779770	21.261145323%	185723
17508569	0.011907810	21.364850713%	185000
716971	0.012035851	21.468275818%	184500
9286036	0.012163892	21.571644866%	184400
16603164	0.012291933	21.674722417%	183880
10453477	0.012419974	21.777089167%	182612
17739442	0.012548015	21.879337075%	182400
17674425	0.012676056	21.980015388%	179600
8508753	0.012804097	22.080581588%	179400
12790710	0.012932138	22.179768786%	176940
17736711	0.013060179	22.278330388%	175824
7857958	0.013188220	22.376430081%	175000
3551413	0.013316261	22.473296521%	172800
13691938	0.013444302	22.567976739%	168900
12332772	0.013572343	22.661120996%	166160
13924225	0.013700384	22.752151905%	162390
830287	0.013828425	22.843132363%	162300
17799477	0.013956466	22.933944650%	162000
17978907	0.014084507	23.023833119%	160352
1466972	0.014212548	23.113353293%	159695
1767611	0.014340589	23.201063948%	156467
3032466	0.014468630	23.288512817%	156000
12866605	0.014596671	23.375623662%	155397
3551630	0.014724712	23.462624076%	155200
15085977	0.014852753	23.548817269%	153760
1311764	0.014980794	23.634822671%	153425
9180801	0.015108835	23.720029262%	152000
6584632	0.015236876	23.805173629%	151889
15180368	0.015364917	23.889146966%	149800
9716974	0.015492958	23.972716693%	149080
17928146	0.015620999	24.055658582%	147960
5624314	0.015749040	24.138089231%	147048
12955906	0.015877081	24.219909981%	145960
16527077	0.016005122	24.300912299%	144500
291666	0.016133163	24.381073762%	143000
16885047	0.016261204	24.460786770%	142200
17681390	0.016389245	24.540499777%	142200
8011295	0.016517286	24.620212785%	142200
17522203	0.016645327	24.699802467%	141980
4177734	0.016773367	24.778829337%	140976
10762964	0.016901408	24.857305168%	139993
10953116	0.017029449	24.935756894%	139950
8912966	0.017157490	25.014124534%	139800
12659146	0.017285531	25.091807719%	138579
2401974	0.017413572	25.168412368%	136655
15511690	0.017541613	25.244974974%	136580
14043100	0.017669654	25.321324563%	136200
17735170	0.017797695	25.397674153%	136200
2406775	0.017925736	25.474023742%	136200
7248953	0.018053777	25.550373332%	136200
12223035	0.018181818	25.625713896%	134400
17865039	0.018309859	25.700696817%	133762
17839950	0.018437900	25.775431966%	133320
16525245	0.018565941	25.848586308%	130500
6394716	0.018693982	25.921635824%	130313
996466	0.018822023	25.994509321%	129999
18102366	0.018950064	26.067271265%	129800
12934288	0.019078105	26.139865037%	129500
17076980	0.019206146	26.212458810%	129500
17764616	0.019334187	26.283655643%	127008
12741314	0.019462228	26.354284619%	125995
2466718	0.019590269	26.424911353%	125991
8628197	0.019718310	26.495374961%	125700
5399414	0.019846351	26.565334056%	124800
8259359	0.019974392	26.635285864%	124787
10655845	0.020102433	26.705076789%	124500
5974986	0.020230474	26.774699542%	124200
14111355	0.020358515	26.843985954%	123600
7743690	0.020486556	26.913076166%	123250
9996449	0.020614597	26.981241438%	121600
1419924	0.020742638	27.049022720%	120915
7311924	0.020870679	27.116288278%	119995
13676771	0.020998720	27.183553276%	119994
17575437	0.021126761	27.250818273%	119994
6777670	0.021254802	27.318083271%	119994
8190231	0.021382843	27.385348268%	119994
6815357	0.021510883	27.452599812%	119970
15279604	0.021638924	27.519419717%	119200
11649267	0.021766965	27.586154416%	119048
8561941	0.021895006	27.652862207%	119000
8142665	0.022023047	27.719233656%	118400
9989254	0.022151088	27.785470008%	118159
14858110	0.022279129	27.851336945%	117500
17334392	0.022407170	27.916777849%	116740
17747725	0.022535211	27.982196330%	116700
17834926	0.022663252	28.047278469%	116100
17793353	0.022791293	28.111132960%	113910
8847133	0.022919334	28.174768269%	113519
16830061	0.023047375	28.238335188%	113397
250672	0.023175416	28.301114507%	111992
12797740	0.023303457	28.363337741%	111000
13121488	0.023431498	28.424933137%	109880
8805881	0.023559539	28.486483687%	109800
6924645	0.023687580	28.547149098%	108221
17793784	0.023815621	28.607668200%	107960
1871516	0.023943662	28.668097610%	107800
10606663	0.024071703	28.728358850%	107500
15346069	0.024199744	28.788564033%	107400
6716082	0.024327785	28.848405967%	106752
7049443	0.024455826	28.907826353%	106000
9000360	0.024583867	28.967246738%	106000
8525136	0.024711908	29.026078525%	104950
9083164	0.024839949	29.084904707%	104940
2793787	0.024967990	29.143556551%	104629
1869532	0.025096031	29.201769470%	103846
6604657	0.025224072	29.259956602%	103800
9523153	0.025352113	29.318029938%	103597
14695088	0.025480154	29.376054505%	103510
15181639	0.025608195	29.434067861%	103490
14709134	0.025736236	29.491951725%	103259
845102	0.025864277	29.549207751%	102139
1260122	0.025992318	29.606382494%	101994
10693049	0.026120359	29.663504544%	101900
7839645	0.026248399	29.720246527%	101222
17601361	0.026376440	29.776390943%	100156
14590752	0.026504481	29.832445108%	99995
17679788	0.026632522	29.888446018%	99900
8466966	0.026760563	29.944222701%	99500
17875566	0.026888604	29.999500476%	98610
16535550	0.027016645	30.054716589%	98500
707602	0.027144686	30.109728094%	98135
17820565	0.027272727	30.164533870%	97768
11881044	0.027400768	30.219263969%	97633
2929564	0.027528809	30.273599987%	96930
13150026	0.027656850	30.327927597%	96915
11424562	0.027784891	30.382190742%	96800
17352834	0.027912932	30.436453886%	96800
14699934	0.028040973	30.490548860%	96500
4604916	0.028169014	30.544643833%	96500
8644419	0.028297055	30.598738807%	96500
9418986	0.028425096	30.652833780%	96500
5205749	0.028553137	30.706648469%	96000
11040233	0.028681178	30.760408222%	95902
18100081	0.028809219	30.814110797%	95800
12878204	0.028937260	30.867589143%	95400
1832751	0.029065301	30.920843262%	95000
12566632	0.029193342	30.974074959%	94960
7218826	0.029321383	31.026823444%	94098
14481929	0.029449424	31.079404879%	93800
17845915	0.029577465	31.131881488%	93613
11464093	0.029705506	31.184149005%	93240
14282263	0.029833547	31.236332435%	93090
7763865	0.029961588	31.288499610%	93061
16752327	0.030089629	31.340539535%	92834
17915082	0.030217670	31.392504344%	92700
17290061	0.030345711	31.444407490%	92590
16306410	0.030473752	31.496291577%	92556
14100920	0.030601793	31.548144271%	92500
14745519	0.030729834	31.599996966%	92500
16031872	0.030857875	31.651849661%	92500
8911043	0.030985915	31.703702356%	92500
17002639	0.031113956	31.755498994%	92400
12152734	0.031241997	31.806812420%	91538
1150117	0.031370038	31.858104546%	91500
8830532	0.031498079	31.909077146%	90930
7157818	0.031626120	31.959932027%	90720
2703288	0.031754161	32.010663582%	90500
11435833	0.031882202	32.061267889%	90273
11531618	0.032010243	32.111870513%	90270
7787284	0.032138284	32.162310572%	89980
17579069	0.032266325	32.212705786%	89900
16088173	0.032394366	32.262988886%	89700
7114355	0.032522407	32.313103814%	89400
7684869	0.032650448	32.362931732%	88888
7363135	0.032778489	32.412654262%	88700
11691830	0.032906530	32.462343158%	88640
10127866	0.033034571	32.511688985%	88028
5977029	0.033162612	32.560963059%	87900
2461090	0.033290653	32.610191167%	87818
17203059	0.033418694	32.659044814%	87150
14522891	0.033546735	32.707702262%	86800
14556101	0.033674776	32.756303652%	86700
16345281	0.033802817	32.804905043%	86700
8934821	0.033930858	32.853506434%	86700
7520839	0.034058899	32.901995710%	86500
14397061	0.034186940	32.950204702%	86000
4881898	0.034314981	32.998301580%	85800
1900635	0.034443022	33.046286344%	85600
17803666	0.034571063	33.094186463%	85449
12914599	0.034699104	33.141787236%	84915
7307698	0.034827145	33.189121740%	84440
9129674	0.034955186	33.236041421%	83700
13252910	0.035083227	33.282942044%	83666
6538747	0.035211268	33.329811274%	83610
15349693	0.035339309	33.376495517%	83280
17985002	0.035467350	33.422742515%	82500
950452	0.035595391	33.468921684%	82379
12810223	0.035723431	33.514888397%	82000
12614662	0.035851472	33.560126370%	80700
6200688	0.035979513	33.605364342%	80700
923954	0.036107554	33.650602315%	80700
895213	0.036235595	33.695672117%	80400
1625285	0.036363636	33.740553567%	80064
16752995	0.036491677	33.785435018%	80064
1426632	0.036619718	33.830278349%	79996
15846483	0.036747759	33.875121681%	79996
4141505	0.036875800	33.919965012%	79996
4187612	0.037003841	33.964808344%	79996
17730954	0.037131882	34.009649433%	79992
17707560	0.037259923	34.054489402%	79990
12110468	0.037387964	34.099222862%	79800
1558876	0.037516005	34.143956321%	79800
17576625	0.037644046	34.188689781%	79800
6058817	0.037772087	34.233423241%	79800
10795135	0.037900128	34.277988530%	79500
15165731	0.038028169	34.322492157%	79390
15744473	0.038156210	34.366889275%	79200
16648517	0.038284251	34.411280788%	79190
16521599	0.038412292	34.455509735%	78900
2512805	0.038540333	34.499738121%	78899
13543517	0.038668374	34.543742841%	78500
17734495	0.038796415	34.587747560%	78500
15655372	0.038924456	34.631412014%	77893
14972223	0.039052497	34.674968278%	77700
12120612	0.039180538	34.718478574%	77618
14647176	0.039308579	34.761978781%	77600
406165	0.039436620	34.805422931%	77500
17953496	0.039564661	34.848808781%	77396
9859122	0.039692702	34.891961435%	76980
17776581	0.039820743	34.935069243%	76900
9883005	0.039948784	34.978177051%	76900
14685723	0.040076825	35.021217590%	76780
17808144	0.040204866	35.063887033%	76118
18000782	0.040332907	35.106490328%	76000
6895269	0.040460948	35.149037005%	75899
17036131	0.040588988	35.191416073%	75600
18004649	0.040717029	35.233772717%	75560
15188637	0.040845070	35.275804232%	74980
6256155	0.040973111	35.317734843%	74800
17423477	0.041101152	35.359609398%	74700
18096582	0.041229193	35.401338204%	74440
15348821	0.041357234	35.442920702%	74179
1302722	0.041485275	35.484346801%	73900
64610	0.041613316	35.525772900%	73900
16626071	0.041741357	35.567145184%	73804
16407410	0.041869398	35.608515226%	73800
1020345	0.041997439	35.649828650%	73699
5592245	0.042125480	35.691030521%	73500
417510	0.042253521	35.731951547%	72999
6442365	0.042381562	35.772782321%	72838
10840625	0.042509603	35.813591793%	72800
4163826	0.042637644	35.854401265%	72800
6595525	0.042765685	35.895092457%	72589
17450117	0.042893726	35.935654718%	72359
9164667	0.043021767	35.976015735%	72000
14588647	0.043149808	36.016375070%	71997
16475218	0.043277849	36.056719269%	71970
6715028	0.043405890	36.097035440%	71920
17674916	0.043533931	36.137284343%	71800
18043860	0.043661972	36.177533245%	71800
6064077	0.043790013	36.217782148%	71800
8120097	0.043918054	36.258031050%	71800
16177944	0.044046095	36.298223896%	71700
10856813	0.044174136	36.338360685%	71600
10116864	0.044302177	36.378452628%	71520
7740675	0.044430218	36.418417882%	71294
6419653	0.044558259	36.458323155%	71187
10463549	0.044686300	36.498122481%	70998
11066337	0.044814341	36.537900505%	70960
11029678	0.044942382	36.577476724%	70600
8893618	0.045070423	36.616954843%	70425
10375411	0.045198464	36.656407737%	70380
1013149	0.045326504	36.695826997%	70320
17714351	0.045454545	36.735065753%	69998
6630249	0.045582586	36.774294418%	69980
2665838	0.045710627	36.813478239%	69900
14685750	0.045838668	36.852373926%	69386
17385064	0.045966709	36.891221404%	69300
6671073	0.046094750	36.930068883%	69300
9123041	0.046222791	36.968904589%	69279
10953893	0.046350832	37.007572685%	68980
17753657	0.046478873	37.046200420%	68908
7825986	0.046606914	37.084747994%	68765
523166	0.046734955	37.123159349%	68522
205346	0.046862996	37.161502315%	68400
8338226	0.046991037	37.199844720%	68399
8595116	0.047119078	37.238018954%	68099
11086320	0.047247119	37.276137692%	68000
13059929	0.047375160	37.314256430%	68000
17709366	0.047503201	37.352263054%	67800
8662225	0.047631242	37.390269678%	67800
2659865	0.047759283	37.428108131%	67500
321529	0.047887324	37.465940417%	67489
14323264	0.048015365	37.503668999%	67304
10726436	0.048143406	37.541395338%	67300
9492872	0.048271447	37.579037591%	67150
15491587	0.048399488	37.616483645%	66800
9238447	0.048527529	37.653929700%	66800
3236431	0.048655570	37.690929540%	66004
17845865	0.048783611	37.727925457%	65997
1182752	0.048911652	37.764810942%	65800
12725648	0.049039693	37.801696426%	65800
7033892	0.049167734	37.838559488%	65760
8847478	0.049295775	37.875422550%	65760
13162408	0.049423816	37.912251977%	65700
6461529	0.049551857	37.949059543%	65661
6402588	0.049679898	37.985866547%	65660
1132718	0.049807939	38.022357951%	65097
8360598	0.049935980	38.058824130%	65052
10776669	0.050064020	38.095258356%	64995
16462328	0.050192061	38.131631480%	64886
5530960	0.050320102	38.167877915%	64660
6238162	0.050448143	38.204034659%	64500
1672621	0.050576184	38.240079289%	64300
10479721	0.050704225	38.276107102%	64270
7084594	0.050832266	38.312095675%	64200
7648718	0.050960307	38.347949711%	63960
3055379	0.051088348	38.383770113%	63900
5472351	0.051216389	38.419540064%	63810
9857011	0.051344430	38.455304409%	63800
15833835	0.051472471	38.490965049%	63615
17798068	0.051600512	38.526617280%	63600
9925079	0.051728553	38.562269512%	63600
100364	0.051856594	38.597865686%	63500
11294732	0.051984635	38.633452331%	63483
8258581	0.052112676	38.668757009%	62980
17976911	0.052240717	38.704007872%	62884
4981697	0.052368758	38.738982935%	62392
580349	0.052496799	38.773956877%	62390
12331533	0.052624840	38.808824311%	62200
8362080	0.052752881	38.843540951%	61931
6962948	0.052880922	38.878249744%	61917
16162612	0.053008963	38.912890147%	61795
675536	0.053137004	38.947430208%	61616
17900362	0.053265045	38.981961300%	61600
5187741	0.053393086	39.016486786%	61590
17953785	0.053521127	39.050905764%	61400
9319432	0.053649168	39.085111725%	61020
16988540	0.053777209	39.119189877%	60792
15872574	0.053905250	39.153166005%	60610
9014043	0.054033291	39.186800185%	60000
7652631	0.054161332	39.220433805%	59999
883687	0.054289373	39.254067425%	59999
8924837	0.054417414	39.287701045%	59999
10176262	0.054545455	39.321333543%	59997
13294305	0.054673496	39.354966042%	59997
17855475	0.054801536	39.388598541%	59997
3728072	0.054929577	39.422231040%	59997
15720197	0.055057618	39.455795709%	59876
13992814	0.055185659	39.489322260%	59808
15852529	0.055313700	39.522844327%	59800
17813979	0.055441741	39.556366393%	59800
8451273	0.055569782	39.589888460%	59800
962236	0.055697823	39.623371287%	59730
17883441	0.055825864	39.656837296%	59700
9822145	0.055953905	39.690224826%	59560
515926	0.056081946	39.723571995%	59488
3355362	0.056209987	39.756909073%	59470
18098792	0.056338028	39.790206912%	59400
9030431	0.056466069	39.823491297%	59376
8236693	0.056594110	39.856743729%	59319
17961076	0.056722151	39.889990556%	59309
9149976	0.056850192	39.923167872%	59185
14418775	0.056978233	39.956335659%	59168
14974843	0.057106274	39.989321820%	58844
17865537	0.057234315	40.022232305%	58709
16802803	0.057362356	40.055126534%	58680
12624194	0.057490397	40.087869408%	58410
15414008	0.057618438	40.120601072%	58390
10607378	0.057746479	40.153314797%	58358
18014324	0.057874520	40.186025158%	58352
13083713	0.058002561	40.218734399%	58350
17717678	0.058130602	40.251247440%	58000
8199533	0.058258643	40.283749270%	57980
8318374	0.058386684	40.316211859%	57910
7736282	0.058514725	40.348668844%	57900
7249599	0.058642766	40.381069771%	57800
8619018	0.058770807	40.413409035%	57690
17555417	0.058898848	40.445641791%	57500
17955567	0.059026889	40.477874548%	57500
16350844	0.059154930	40.510050126%	57398
17434548	0.059282971	40.542189267%	57333
7651783	0.059411012	40.574156313%	57026
2545152	0.059539052	40.606108784%	57000
5949567	0.059667093	40.638061256%	57000
6290792	0.059795134	40.670013727%	57000
7045506	0.059923175	40.701525591%	56214
13184432	0.060051216	40.733035212%	56210
12210896	0.060179257	40.764424872%	55996
9561360	0.060307298	40.795808365%	55985
13407339	0.060435339	40.827144210%	55900
3398460	0.060563380	40.858423997%	55800
6519209	0.060691421	40.889703785%	55800
7385018	0.060819462	40.920748134%	55380
17917018	0.060947503	40.951776786%	55352
17816195	0.061075544	40.982706779%	55176
15154664	0.061203585	41.013482054%	54900
8702105	0.061331626	41.044257329%	54900
12820556	0.061459667	41.075012423%	54864
16818350	0.061587708	41.105759670%	54850
4410387	0.061715749	41.136478328%	54799
1596564	0.061843790	41.167168957%	54749
17611514	0.061971831	41.197762607%	54576
17954117	0.062099872	41.228319821%	54511
7541795	0.062227913	41.258746982%	54279
11365889	0.062355954	41.289073801%	54100
3974992	0.062483995	41.319400621%	54100
6692740	0.062612036	41.349727440%	54100
7583868	0.062740077	41.380054259%	54100
7931763	0.062868118	41.410381079%	54100
12998510	0.062996159	41.440651841%	54000
17703262	0.063124200	41.470922604%	54000
17830427	0.063252241	41.501193366%	54000
18042670	0.063380282	41.531464128%	54000
4897677	0.063508323	41.561734891%	54000
7639953	0.063636364	41.591955202%	53910
10626320	0.063764405	41.622169907%	53900
16399102	0.063892446	41.652384613%	53900
1087244	0.064020487	41.682543261%	53800
11591854	0.064148528	41.712701910%	53800
12957494	0.064276569	41.742860558%	53800
16107455	0.064404609	41.773019206%	53800
16523097	0.064532650	41.803177855%	53800
17526896	0.064660691	41.833336503%	53800
17683215	0.064788732	41.863495152%	53800
17708554	0.064916773	41.893653800%	53800
17902879	0.065044814	41.923756392%	53700
9156263	0.065172855	41.953858983%	53700
17955839	0.065300896	41.983779950%	53376
6791632	0.065428937	42.013674010%	53328
4343318	0.065556978	42.043440259%	53100
17818931	0.065685019	42.073128029%	52960
13097987	0.065813060	42.102782165%	52900
16691389	0.065941101	42.132436301%	52900
6990516	0.066069142	42.162090437%	52900
9621309	0.066197183	42.191684031%	52792
9195568	0.066325224	42.221175601%	52610
6854770	0.066453265	42.250381842%	52101
10213841	0.066581306	42.279531465%	52000
404459	0.066709347	42.308681088%	52000
5571496	0.066837388	42.337830711%	52000
17855200	0.066965429	42.366978092%	51996
13362513	0.067093470	42.396070537%	51898
12941349	0.067221511	42.425139438%	51856
18025349	0.067349552	42.454176947%	51800
14938179	0.067477593	42.483180822%	51740
18071300	0.067605634	42.512106217%	51600
10584466	0.067733675	42.540964344%	51480
10347342	0.067861716	42.569654300%	51180
7493116	0.067989757	42.598243353%	51000
16186975	0.068117798	42.626815589%	50970
11548204	0.068245839	42.655387265%	50969
1100368	0.068373880	42.683920261%	50900
14760939	0.068501921	42.712453258%	50900
17970249	0.068629962	42.740986254%	50900
556153	0.068758003	42.769519250%	50900
7580757	0.068886044	42.798013007%	50830
8898830	0.069014085	42.826411467%	50660
1607490	0.069142125	42.854750506%	50554
11784038	0.069270166	42.883003217%	50400
7239587	0.069398207	42.911255929%	50400
14728390	0.069526248	42.939424555%	50250
1362530	0.069654289	42.967577485%	50222
1666074	0.069782330	42.995662026%	50100
14014506	0.069910371	43.023689389%	49998
17461777	0.070038412	43.051661815%	49900
18054291	0.070166453	43.079634242%	49900
16371183	0.070294494	43.107605548%	49898
11176778	0.070422535	43.135521917%	49800
11910278	0.070550576	43.163438287%	49800
12498220	0.070678617	43.191354657%	49800
12553788	0.070806658	43.219271027%	49800
12854039	0.070934699	43.247124613%	49688
97399	0.071062740	43.274977638%	49687
6296582	0.071190781	43.302770682%	49580
10897292	0.071318822	43.330518881%	49500
15902188	0.071446863	43.358216629%	49410
17387332	0.071574904	43.385914376%	49410
318197	0.071702945	43.413549901%	49299
12595861	0.071830986	43.441129929%	49200
18107547	0.071959027	43.468709957%	49200
3239962	0.072087068	43.496213747%	49064
17312674	0.072215109	43.523702963%	49038
17719923	0.072343150	43.551114820%	48900
3069990	0.072471191	43.578526677%	48900
8261376	0.072599232	43.605938534%	48900
2331752	0.072727273	43.633294334%	48800
15767276	0.072855314	43.660594077%	48700
1457736	0.072983355	43.687759283%	48460
11522770	0.073111396	43.714923369%	48458
13259674	0.073239437	43.742054941%	48400
7048634	0.073367478	43.769074399%	48200
16486694	0.073495519	43.795981744%	48000
17429281	0.073623560	43.822889088%	48000
17952419	0.073751601	43.849795872%	47999
8283409	0.073879641	43.876702095%	47998
17736158	0.074007682	43.903606636%	47995
13216299	0.074135723	43.930480346%	47940
13432445	0.074263764	43.957354057%	47940
13614538	0.074391805	43.984227767%	47940
5127406	0.074519846	44.011101477%	47940
11994550	0.074647887	44.037952764%	47900
17859039	0.074775928	44.064804052%	47900
14183841	0.074903969	44.091599282%	47800
5215975	0.075032010	44.118394513%	47800
6425570	0.075160051	44.145189743%	47800
15151691	0.075288092	44.171928916%	47700
7481789	0.075416133	44.198612033%	47600
5181598	0.075544174	44.225282256%	47577
17011945	0.075672215	44.251853259%	47400
17707112	0.075800256	44.278424261%	47400
6362920	0.075928297	44.304995264%	47400
208815	0.076056338	44.331560661%	47390
10836185	0.076184379	44.358113725%	47368
3210337	0.076312420	44.384572614%	47200
16556005	0.076440461	44.410997307%	47139
18058337	0.076568502	44.437411350%	47120
7311253	0.076696543	44.463802971%	47080
6823803	0.076824584	44.490113869%	46936
12372079	0.076952625	44.516404587%	46900
14158650	0.077080666	44.542695304%	46900
16590141	0.077208707	44.568986022%	46900
18011182	0.077336748	44.595276740%	46900
2490291	0.077464789	44.621567457%	46900
7893539	0.077592830	44.647858175%	46900
11450395	0.077720871	44.674092836%	46800
4681846	0.077848912	44.700327497%	46800
17629029	0.077976953	44.726535250%	46752
16677630	0.078104994	44.752741882%	46750
9305796	0.078233035	44.778926092%	46710
6098003	0.078361076	44.805046957%	46597
14861560	0.078489117	44.831134748%	46538
345677	0.078617157	44.857071186%	46268
17875689	0.078745198	44.882965581%	46193
12340073	0.078873239	44.908841477%	46160
7367529	0.079001280	44.934700556%	46130
17671254	0.079129321	44.960485640%	45998
9324729	0.079257362	44.986270724%	45998
952246	0.079385403	45.012055247%	45997
4016902	0.079513444	45.037830241%	45980
1387863	0.079641485	45.063560389%	45900
6855126	0.079769526	45.089290537%	45900
6954823	0.079897567	45.115020685%	45900
9088029	0.080025608	45.140750833%	45900
7225411	0.080153649	45.166478178%	45895
17252603	0.080281690	45.192152269%	45800
1188849	0.080409731	45.217776469%	45711
16782515	0.080537772	45.243394503%	45700
13411439	0.080665813	45.268962086%	45610
6930747	0.080793854	45.294520700%	45594
13158970	0.080921895	45.320026620%	45500
17812648	0.081049936	45.345532540%	45500
17871507	0.081177977	45.371038460%	45500
12992116	0.081306018	45.396488324%	45400
13481102	0.081434059	45.421938187%	45400
16465812	0.081562100	45.447388050%	45400
17641953	0.081690141	45.472837913%	45400
17755779	0.081818182	45.498287776%	45400
7159417	0.081946223	45.523737640%	45400
15788196	0.082074264	45.549131446%	45300
6594149	0.082202305	45.574525252%	45300
12927468	0.082330346	45.599882621%	45235
13127614	0.082458387	45.625172722%	45115
7627787	0.082586428	45.650398357%	45000
3984514	0.082714469	45.675613902%	44982
17544346	0.082842510	45.700783481%	44900
17861598	0.082970551	45.725953059%	44900
7034540	0.083098592	45.751122637%	44900
8429331	0.083226633	45.776292216%	44900
10718117	0.083354673	45.801400132%	44790
15060740	0.083482714	45.826508047%	44790
13398559	0.083610755	45.851606433%	44773
5973683	0.083738796	45.876702016%	44768
15669348	0.083866837	45.901759481%	44700
18067417	0.083994878	45.926816945%	44700
3262388	0.084122919	45.951865440%	44684
18095975	0.084250960	45.976902724%	44664
13219565	0.084379001	46.001892920%	44580
17625808	0.084507042	46.026869102%	44555
11862406	0.084635083	46.051842481%	44550
6584451	0.084763124	46.076787832%	44500
17858979	0.084891165	46.101719168%	44475
15799546	0.085019206	46.126630884%	44440
15384743	0.085147247	46.151497755%	44360
8224369	0.085275288	46.176339400%	44315
9633590	0.085403329	46.201172637%	44300
6985631	0.085531370	46.225865731%	44050
7431562	0.085659411	46.250547614%	44030
17923938	0.085787452	46.275201468%	43980
17703622	0.085915493	46.299810476%	43900
4700915	0.086043534	46.324363428%	43800
7073258	0.086171575	46.348916380%	43800
12762637	0.086299616	46.373436258%	43741
4618502	0.086427657	46.397888307%	43620
6827388	0.086555698	46.422279815%	43512
545491	0.086683739	46.446664035%	43499
13935185	0.086811780	46.471042650%	43489
825715	0.086939821	46.495382585%	43420
10525474	0.087067862	46.519610406%	43220
1891971	0.087195903	46.543827016%	43200
16201032	0.087323944	46.568041384%	43196
17483468	0.087451985	46.592168302%	43040
6951623	0.087580026	46.616267193%	42990
6287713	0.087708067	46.640349266%	42960
15318787	0.087836108	46.664412280%	42926
351019	0.087964149	46.688475293%	42926
1115873	0.088092190	46.712523732%	42900
17503854	0.088220230	46.736572171%	42900
17740586	0.088348271	46.760620610%	42900
8268342	0.088476312	46.784669050%	42900
8939264	0.088604353	46.808717489%	42900
3404418	0.088732394	46.832709871%	42800
9324885	0.088860435	46.856691041%	42780
6789450	0.088988476	46.880658758%	42756
8221274	0.089116517	46.904519967%	42566
14813391	0.089244558	46.928344178%	42500
